station_code;category;unit;description;status;maps;latitude;longitude;altitude;province;city;district;subdistrict;network;start_date;address
PPLI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.740981,105.144901;-5.740981;105.144901;63;Lampung;Pesawaran;Punduh Pidada;Bangun Rejo;;2019-10-01;Jl. Dirt Road
PPSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-2.766,100.01;-2.766;100.01;6;Sumatera Barat;Kepulauan Mentawai;Pagai Utara;Pagai Utara;;2007-01-01;Jalan Raya Silabu Dusun Utara
PPSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.318156,104.0155;-5.318156;104.0155;15;Lampung;Pesisir Barat;Pesisir Selatan;Biha;;2019-10-01;Kantor Camat Pesisir Selatan
PRJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-8.072226,110.791706;-8.072226;110.791706;337;Jawa Tengah;Wonogiri;Pracimantoro;;;2019-10-01;Gedong, Wonogiri, Jawa Tengah, Jawa, 57664, Indonesia
PRLJI;Stasiun Gempa Bumi;;Stageof Malang;;https://www.google.com/maps?q=-8.232273,113.114018;-8.232273;113.114018;;Jawa Timur;;;;;2022-01-01;Bades, Lumajang, Jawa Timur, Jawa, 67372, Indonesia
PRSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.377521,101.822472;0.377521;101.822472;24;Riau;Pelalawan;;;;2021-12-08;Kecamatan Pangkalan Kerinci, Pelalawan, Riau, Sumatera, 28381, Indonesia
PSI;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.6952,98.924;2.6952;98.924;1076;Sumatera Utara;Simalungun;Girsang;Sibabanding;;2010-01-01;Jl. Raya Pematang Siantar Km. 169
PSJCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-7.06,120.6202;-7.06;120.6202;79;Sulawesi Selatan;Selayar;Pasimassunggu;Labuang Pamajang;;2020-11-01;kantor Kecamatan Pasimassunggu, Labuang Pamajang, Pasimassunggu, Pulau Selayar, Sulawesi Selatan 92861
PSJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.968613,106.54908;-6.968613;106.54908;204.5;Jawa Barat;Sukabumi;Pelabuhan Ratu;;;2019-10-01;Cimanggu, Kab Sukabumi, Jawa Barat, Jawa, 43364, Indonesia
PSLI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.93733,105.510066;-5.93733;105.510066;39;Lampung;Lampung Selatan;Rajabasa P. Sibesi;;;2019-10-01;Tejang Pulau Sebesi, Lampung Selatan, Lampung, Sumatera, Indonesia
PSSI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=2.7353,125.4045;2.7353;125.4045;1253;Sulawesi Utara;Sitaro;Siau Timur;Bebali;;2018-11-22;Komplek perum bebali
PSSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.8643,104.6954;-5.8643;104.6954;15;Lampung;Tanggamus;Pematang Sawah;Tampang muda;;2019-10-01;Kantor kelurahanTampang Muda
PTJI;Stasiun Gempa Bumi;;Stageof Tangerang;;https://www.google.com/maps?q=-6.255535,106.748825;-6.255535;106.748825;76;Banten;Tangerang Selatan;Pondok Aren;;;2019-10-01;Jalan Cemara, Pondok Betung, Pondok Aren, Tangerang Selatan, Banten, Jawa, 12320, Indonesia
PTSM;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.0118,99.166;2.0118;99.166;1196;Sumatera Utara;Tapanuli Utara;Pangaribuan;Harianja;;2019-10-01;Jalan Siliwangi, Harianja, Pangaribuan, Kabupaten Tapanuli Utara, Sumatera Utara 22472
PUPSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.733,120.676;-1.733;120.676;;SulawesiTengah;;;;;2023-01-01;Sawidago, Poso, Sulawesi Tengah, Sulawesi, Indonesia
PWCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-3.6739,120.4014;-3.6739;120.4014;102;Sulawesi Selatan;Wajo;Pitumpanua;Buriko;;2020-11-01;Komplek Kantor Desa Buriko, Wajo
PWJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-8.22,111.8039;-8.22;111.8039;206;Jawa Timur;Tulung Agung;Pagerwojo;Pagerwojo;;2007-01-01;Desa Suwalow, Bendungan Wonorejo
RASM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-2.16527,101.0705;-2.16527;101.0705;100;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;;;2019-10-01;Tapan, Pesisir Selatan, Sumatera Barat, Sumatera, Indonesia
RDCM;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-1.2955,119.5524;-1.2955;119.5524;44;Sulawesi Tengah;Donggala;Rio Pakava;Lalundu;;2019-10-01;Lalundu
RGRI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.3491,102.3338;-0.3491;102.3338;33;Riau;Indragiri Hulu;Lirik;Sidi Mulyo;;2006-01-01;Jalan Lintas Timur Bandara Japura, Stasiun Meteorologi Rengat
RHRSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=1.561797,101.002914;1.561797;101.002914;38;Riau;Rokan Hilir;;;;2021-12-07;Sedinginan, Kecamatan Tanah Putih, Rokan Hilir, Riau, Sumatera, 28985, Indonesia
RKCM;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-2.5625,121.345;-2.5625;121.345;391.3;Sulawesi Tenggara;Konawe;Rauta;;;2020-11-01;Komplek Rumah Jabatan Camat Routa, Kabupaten Konawe
RKPI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-1.5107,134.1773;-1.5107;134.1773;34.3;Papua Barat;Manokwari Selatan;Distrik Ransiki;Kampung Ransiki;;2008-01-01;Jl. Sudarwo Condro Negoro
RLSI;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.0686,99.8553;2.0686;99.8553;27;Sumatera Utara;Labuhan Batu;Rantau Selatan;Ujung Bandar;;2019-10-01;Jl. Idris Hasibuan
RMSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-2.623262,102.76182;-2.623262;102.76182;56;Sumatera Selatan;Musi Rawas;Rawas Hulu,;;;2019-10-01;Kantor camat Rawas ULU
RNFM;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-8.4294,121.0262;-8.4294;121.0262;84;Nusa Tenggara Timur;Ngada;Riung;;;2020-11-01;Riung, Ngada, Nusa Tenggara Timur, Nusa Tenggara, 86471, Indonesia
RONI;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-10.7658,123.0732;-10.7658;123.0732;131;Nusa Tenggara Timur;;;;;2019-08-25;Bandar Udara David Constantijn Saudale, Gang Mandope, Mokdale, Rote Ndao, Nusa Tenggara Timur, Nusa Tenggara, 85371, Indonesia
ROTTI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-10.806,123.013;-10.806;123.013;;NusaTenggaraTimur;;;;;2023-01-01;Busalangga, Rote Ndao, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
RRHRI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.571374,100.427397;0.571374;100.427397;;Riau;;;;;2022-01-01;Jalan Ujung Batu - Rokan - Batas Sumatera Barat, Rokan, Kecamatan Rokan IV Koto, Rokan Hulu, Riau, Sumatera, Indonesia
RRSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.842072,100.33965;0.842072;100.33965;90;Riau;Rokan Hulu;Rambah;Suka Maju;;2019-10-01;Kantor Balai Benih Induk Kabupaten Rokan Hulu
RSNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.885942,117.482956;-8.885942;117.482956;775;Nusa Tenggara Barat;Sumbawa;Ropang;;;2021-12-10;Sumbawa, Nusa Tenggara Barat, Nusa Tenggara, Indonesia
RSSM;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.5981,98.7832;2.5981;98.7832;1509;Sumatera Utara;Samosir;Ronggurnihuta;;;2019-10-01;Kantor Camat Ronggurnihuta
RTBI;Stasiun Gempa Bumi;;Stageof Denpasar;;https://www.google.com/maps?q=-8.4597,114.942;-8.4597;114.942;300;Bali;Tabanan;Selemadeg Barat;Dusun Bukit Tumpeng;;2005-12-01;Jl.Denpasar Gilimanuk, Desa Lalang Linggah
SAASI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=5.562,95.525;5.562;95.525;;Aceh;;;;;2023-01-01;Jalan Blang Bintang-Krueng Raya, Lambitra, Mesjid Raya, Aceh Besar, Aceh, Sumatera, Indonesia
SADLY;Stasiun Gempa Bumi;;Stageof Tangerang;;https://www.google.com/maps?q=-6.5737854,106.074132;-6.5737854;106.074132;292;Banten;Lebak;Gunung Kencana;Gunung Kencana;;2021-12-24;Kantor Kecamatan Gunung Kencana, Gunung Kencana, Lebak. Banten
SAKJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-7.686,110.155;-7.686;110.155;;DIY;;;;;2023-01-01;Banjarsari, Samigaluh, Kulon Progo, Daerah Istimewa Yogyakarta, Jawa, 55673, Indonesia
SAMKI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-0.189253,110.36367;-0.189253;110.36367;;KalimantanBarat;;;;;2023-01-01;Harapan Makmur, Meliau, Sanggau, Kalimantan Barat, Kalimantan, Indonesia
SANI;Stasiun Gempa Bumi;;Stageof Ternate;;https://www.google.com/maps?q=-2.0497,125.9881;-2.0497;125.9881;30;Maluku Utara;Kab. Kepulauan Sula;Sanana;Fogi;;2009-12-03;Jalan Lain
SAPSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.0,120.464;-1;120.464;;SulawesiTengah;;;;;2023-01-01;Parigi Moutong, Sulawesi Tengah, Sulawesi, Indonesia
SASI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.1241,99.8754;0.1241;99.8754;164;Sumatera Barat;Kabupaten Pasaman Barat;Pasaman;Aua Kuniang;;1900-01-01;Jln. Soekarno Hatta Padang Tujuh
SASM;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=4.879435,95.482507;4.879435;95.482507;104;Aceh;Aceh Jaya;Sampoiniet;Ligan;;2019-10-01;Blang Monlung, Sampoiniet, Aceh Jaya, Aceh, Sumatera, Indonesia
SATPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.972,138.87;-1.972;138.87;;Papua;;;;;2023-01-01;Sarmi, Papua, Western New Guinea, Indonesia
SAUI;Stasiun Gempa Bumi;;Stageof Maluku Tenggara Barat;;https://www.google.com/maps?q=-7.9826,131.2988;-7.9826;131.2988;110;Maluku;Kepulauan Tanimbar;Tanimbar Selatan;Saumlaki;;2009-08-10;Jl. Harapan, Saumlaki 97664
SBBM;Stasiun Gempa Bumi;;Stageof Denpasar;;https://www.google.com/maps?q=-8.2031,114.9179;-8.2031;114.9179;111;Bali;Buleleng;Seririt;Loka Paksa;;2020-11-01;Desa Loka Paksa
SBJI;Stasiun Gempa Bumi;;Stageof Tangerang;;https://www.google.com/maps?q=-6.1117,106.1318;-6.1117;106.1318;64;Banten;Serang;Taktakan;Drangong;;2005-01-01;Stasiun Meteorologi Kelas III Serang Jl. Raya Taktakan No. 27 Serang - Banten
SBNI;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-10.4917,121.8457;-10.4917;121.8457;14;Nusa Tenggara Timur;Sabu Raijua;Sabu Barat;Mebba;;2017-12-01;Sta. Met. Kelas III Tardamu - Sabu Raijua, Jl. Terdamu No. 12 Seba Sabu
SBSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.1979,99.3773;0.1979;99.3773;1;Sumatera Barat;Pasaman;Sungai Beremas;Air Bangis;;2019-10-01;Air Bangis
SBSSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.206,119.889;-1.206;119.889;;SulawesiTengah;;;;;2023-01-01;Bobo, Sigi, Sulawesi Tengah, Sulawesi, Indonesia
SCJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.680981,109.168961;-7.680981;109.168961;45;Jawa Tengah;Cilacap;Adipala;Karang Benda;;2006-01-01;Gunung Srandil
SCJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.843236,107.22267;-6.843236;107.22267;309;Jawa Barat;Cianjur;Sukaluyu;;;2019-10-01;Sukamulya, Cianjur, Jawa Barat, Jawa, 43282, Indonesia
SDCI;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-0.4084,119.777;-0.4084;119.777;27;Sulawesi Tengah;Donggala;Sindue;Balaroa;;2019-10-01;Donggala, Sulawesi Tengah, Sulawesi, Indonesia
SDSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.932551,101.42796;-0.932551;101.42796;213;Sumatera Barat;Sungai Dareh;Pulau Punjung;Gunung Selasih;;2007-01-01;JL. Sungai Kambut
SDSM;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=2.754553,98.295066;2.754553;98.295066;1018;Sumatera Utara;Dairi;Sidikalang;Huta Rakyat;;2019-10-01;Jl. Persada
SEJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-7.0051,111.7288;-7.0051;111.7288;120;Jawa Timur;Tuban;Senori;;;2019-10-01;Senori, Tuban, Jawa Timur, Jawa, 62365, Indonesia
SEMI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-2.917,129.8209;-2.917;129.8209;60;Maluku;Maluku Tengah;Seram Utara Timur Seti;Kobi Sadar;;2019-10-01;Maluku Tengah, Maluku, Indonesia
SGKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=0.5302,117.6043;0.5302;117.6043;163;Kalimantan Timur;Kutai Timur;Sangata Utara;Teluk Lingga;;2008-01-01;Komplek Kantor Pemda Bukit Bintang
SGSI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=3.686,125.5286;3.686;125.5286;27.2;Sulawesi Utara;Kepulauan Sangihe;Tabukan Utara;Desa Naha;;2006-01-01;Jalan bandar udara Naha
SICJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-7.472,108.808;-7.472;108.808;;JawaTengah;;;;;2023-01-01;Kunci, Cilacap, Jawa Tengah, Jawa, 53261, Indonesia
SIJI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-0.8691,131.266;-0.8691;131.266;195;Papua Barat;Sorong Kota;Sorong Manoi;Klasabi;;2010-01-01;Jalan Perbukitan
SIJM;Stasiun Gempa Bumi;;Stageof Pasuruan;;https://www.google.com/maps?q=-7.2947,112.696;-7.2947;112.696;24;Jawa Timur;Sidoarjo;Sidoarjo;Sedati;;2019-10-01;Perum Bmkg
SIRSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.891736,101.236481;0.891736;101.236481;79;Riau;Siak;;;;2021-12-07;Telaga Sam Sam, Kecamatan Kandis, Siak, Riau, Sumatera, 28686, Indonesia
SISM;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=4.60852,96.728533;4.60852;96.728533;1034;Aceh;,Aceh Tengah;Silih Nara;;;2019-10-01;Kantor BPP Silih Nara
SISMI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.7806,99.14018;-1.7806;99.14018;;SumateraBarat;;;;;2023-01-01;Pasakiat Taileleu, Kepulauan Mentawai, Sumatera Barat, Sumatera, Indonesia
SIUMI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.126,98.98;-1.126;98.98;;SumateraBarat;;;;;2023-01-01;Muara Sikabaluan, Kepulauan Mentawai, Sumatera Barat, Sumatera, Indonesia
SJPM;Stasiun Gempa Bumi;;Stageof Nabire;;https://www.google.com/maps?q=-2.5698,140.5029;-2.5698;140.5029;192;Papua;Jayapura;Sentani;;;2020-11-01;Sentani, Jayapura
SKJI;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-7.0053,106.563;-7.0053;106.563;100;Jawa Barat;Pelabuhan Ratu / Sukabumi;Pelabuhan Ratu;Pelabuhan Ratu;;2007-01-01;Jl.Pelabuhan Ratu-Sukabumi km.3, Desa Jayanti
SKPM;Stasiun Gempa Bumi;;Stageof Jayapura;;https://www.google.com/maps?q=-3.4485,140.7256;-3.4485;140.7256;343;Papua;Keerom;Senggi;;;2020-11-01;Keerom, Papua, Western New Guinea, Indonesia
SKSI;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=5.894519,95.31268;5.894519;95.31268;29;Aceh;Kota Sabang;Sukakarya;Kuta Barat;;2019-10-01;Jalan T. Panglima Polem
SKSM;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-1.94603,101.34984;-1.94603;101.34984;956;Jambi;Kerinci;Siulak Mukai;Bukit Tengah;;2019-10-01;Kantor BPBD Kab. Kerinci
SLBFM;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.7956,115.9336;-8.7956;115.9336;77;Nusa Tenggara Barat;Lombok Barat;Sekotong Tengah;Pelangan;;2020-11-01;Belakang Puskesdes Dusun Pelangan Tengah Jl. Raya Mekaki, Pelangan, Sekotong Tengah, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83365
SLSI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-2.392387,102.59268;-2.392387;102.59268;76;Jambi;Sarolangun;Cermin Nan Gedan;Desa Teluk Tigo;;2008-01-01;Desa Teluk Tigo
SLSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.831377,100.6535;-0.831377;100.6535;389;Sumatera Barat;Solok;Kubung;;;2019-10-01;Koto Baru, Solok, Sumatera Barat, Sumatera, Indonesia
SMKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=-0.4461,117.2085;-0.4461;117.2085;97;Kalimantan Timur;Samarinda;Samarinda Utara;Lempake;;2006-01-01;Jalan Raya Bontang, Samarinda (Kawasan Kebun Raya Samarinda)
SMPI;Stasiun Gempa Bumi;;Stageof Jayapura;;https://www.google.com/maps?q=-1.99,138.71;-1.99;138.71;111;Papua;Sarmi;Sarmi;Mararena;;2007-01-01;Jl. Inpres Mararena Sarmi Bandar Udara Mararena Sarmi Papua
SMRI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.049051,110.44081;-7.049051;110.44081;95;Jawa Tengah;Semarang;;;;2006-11-01;Taman Rumah Kita Depan Kampus MIFA UNDIP
SMSI;Stasiun Gempa Bumi;;Stageof Gorontalo;;https://www.google.com/maps?q=0.9885,122.3654;0.9885;122.3654;85;Gorontalo;Gorontalo Utara;Sumalata;Desa Kasia;;2007-01-01;Dusun 1, Desa Kasia
SMSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.005907,100.17103;-0.005907;100.17103;361;Sumatera Barat;Pasaman;Simpati;;;2019-10-01;Pasaman, Sumatera Barat, Sumatera, Indonesia
SNBI;Stasiun Gempa Bumi;;Stageof Gunungsitoli;;https://www.google.com/maps?q=0.963271,97.429528;0.963271;97.429528;-10;Sumatera Utara;Nias Barat;Sirombu;Togideu;;2019-10-01;Jl. Tetesua Tengah
SNJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-7.7808,111.7591;-7.7808;111.7591;1341;Jawa Timur;Nganjuk;Sawahan;Ngaliman;;2006-01-01;Gunung Wilis - Air Terjun Sedudo
SNSI;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=2.408897,96.326691;2.408897;96.326691;14;Aceh;Simeulue;Teupah Tengah;Lasikin;;2008-01-01;Jl. Tengku Diujung
SOEI;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-9.7553,124.2672;-9.7553;124.2672;1047;Nusa Tenggara Timur;Soe;Molo Selatan;Oelbubuk;;2008-12-20;Balai Benih Hortikultura Jln.Soe-Kapan Km15
SOMPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.431,141.007;-8.431;141.007;;Papua;;;;;2023-01-01;jalan Sota, Sota, Merauke, Papua Selatan, Western New Guinea, Indonesia
SPSI;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-3.9646,119.7691;-3.9646;119.7691;142;Sulawesi Selatan;Sidrap / Sinreng Rappang;Watangpulu;Watangpulu;;2007-01-01;Kosadae, Desa Buae
SPSJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.6667,107.61359;-6.6667;107.61359;659;Jawa Barat;Subang;Serang Panjang;Ponggang;;2020-11-01;Kantor Camat Serang Panjang, Desa Ponggang, Kab. Subang, Jawa Barat
SPSM;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=2.516029,98.373733;2.516029;98.373733;1000;Sumatera Utara;Pakpak Bharat;Sitellu Tali Urang Julu;Cikaok;;2019-10-01;Kantor Camat Sitellu Tali Urang Julu
SRBI;Stasiun Gempa Bumi;;Stageof Denpasar;;https://www.google.com/maps?q=-8.0848,115.2126;-8.0848;115.2126;111;Bali;Buleleng;Kubutambahan;Desa Bukti;;2007-01-01;Jl. Raya Singaraja - Air Sanih
SRMI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-2.9415,129.1818;-2.9415;129.1818;18;Maluku;Maluku Tengah;Seram Utara;Olong;;2019-10-01;Kantor Desa Olong
SRPI;Stasiun Gempa Bumi;;Stageof Nabire;;https://www.google.com/maps?q=-1.8755,136.24;-1.8755;136.24;101;Papua;Serui / Yapen Selatan;Yapen Waropen;Serui Kota;;2008-01-01;Jl. Jendral Sudirman
SRSI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-2.531508,120.877821;-2.531508;120.877821;36;Sulawesi Selatan;Luwu Timur;Tomini Timur;Cendana Hitam;;2017-12-28;Desa Cendana Hitam, Kec. Tomini Timur, Kab. Luwu Timur
SSASI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=2.83,95.925;2.83;95.925;;Aceh;;;;;2023-01-01;Amabaan, Simeulue Besar, Simeulue, Aceh, Sumatera, Indonesia
SSJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.887154,106.9626;-6.887154;106.9626;841;Jawa Barat;Sukabumi;Sukaraja;Sukamekar;;2019-10-01;Kantor Desa Sukamekar
SSKI;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=0.8178,108.96;0.8178;108.96;59;Kalimantan Barat;Singkawang;Singkawang Selatan;Pangmilang;;2017-12-28;Jl. Air Merah, Kelurahan Pangmilang Kecamatan Singkawang Selatan. Kota Singkawang
SSMI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.7367,130.8287;-3.7367;130.8287;65;Maluku;Seram Bagian Timur;Siritaun Wida Timur;;;2019-10-01;Kantor Kecamatan SIritaun
SSSI;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=2.6748,97.9707;2.6748;97.9707;27;Aceh;Subulussalam;Simpang Kiri;Suka Makmur;;2018-01-01;Dusun Suka Makmur
SSSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-1.564124,101.23754;-1.564124;101.23754;563;Sumatera Barat;Solok Selatan;Sangir;Padang Aro;;2019-10-01;Komplek kantor Bupati Solok Selatan, Padang Aro, Kec. Sangir, Kab. Solok Selatan
STPI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-0.46835,132.1256;-0.46835;132.1256;24;Papua Barat;Tambrauw;Sausapor;Kampung Wembrus;;2019-10-01;Jl. Trans Wisata (Sebelah Puskesmas Distrik Sausapor)
STSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-2.38875,101.04784;-2.38875;101.04784;16;Sumatera Barat;Pesisir Selatan;Silaut;;;2019-10-01;Lubuk Bunta, Pesisir Selatan, Sumatera Barat, Sumatera, Indonesia
SUPJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-6.796,105.515;-6.796;105.515;;Banten;;;;;2023-01-01;Pandeglang, Banten, Jawa, Indonesia
SUSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.021319,104.294536;-5.021319;104.294536;1055;Lampung;Lampung Barat;Sekincau;;;2019-10-01;Pampangan, Lampung Barat, Lampung, Sumatera, 34872, Indonesia
SUSPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-0.732,135.734;-0.732;135.734;;Papua;;;;;2023-01-01;Sauyas, Supiori, Papua, Western New Guinea, Indonesia
SWCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-4.2145,120.0109;-4.2145;120.0109;23;Sulawesi Selatan;Wajo;Sabbang Paru;;;2019-10-01;Jalan Poros Cabange - Sengkang, Wajo, Sompe, Sulawesi Selatan, Sulawesi, Indonesia
SWI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-0.8628,131.2592;-0.8628;131.2592;128;Papua Barat;Sorong;Sorong;Kampung baru;;2005-01-01;Jl D.Siwiki No.1 Puncak Cendrawasih Sorong
SWJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-7.7349,111.7669;-7.7349;111.7669;723;Jawa Timur;Nganjuk;Sawahan;Sawahan;;2006-01-01;Jl Pesanggrahan Sawahan No. 10
SWPM;Stasiun Gempa Bumi;;Stageof Nabire;;https://www.google.com/maps?q=-0.8036,133.5948;-0.8036;133.5948;172;Papua Barat;Manokwari;Sidey;;;2020-11-01;Sidey, Manokwari, Papua
SYJI;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=-7.811574,110.47111;-7.811574;110.47111;138;Yogyakarta;Sleman;;;;2021-12-07;Jogotirto, Berbah, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55572, Indonesia
TAGJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.077,110.585;-8.077;110.585;;DIY;;;;;2023-01-01;Kemiri, Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, Indonesia
TAMI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.6764,128.1108;-3.6764;128.1108;101;Maluku;Ambon;Tawiri;Dusun Hila Tanah Putih;;2019-10-01;Dinas Pertanian Dan Ketahanan Pangan Bidang Peternakan
TAPSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-3.322,119.249;-3.322;119.249;;SulawesiBarat;;;;;2023-01-01;Riso, Polewali Mandar, Sulawesi Barat, Sulawesi, 91352, Indonesia
